QYEAR,GICS_SECTOR_NAME,TICKER,Q_Open_Price,PX_LAST,RETURN,PE_RATIO,PX_TO_BOOK_RATIO,TRAIL_12M_EPS,TOT_DEBT_TO_TOT_EQY,PRICE_TO_FCF,RETURN_COM_EQY,RETURN_ON_ASSET,CUR_MKT_CAP,ADJUSTED_BETA,,,,
2009Q1,Industrials,AAL US Equity,,,,,,-3.5185,1191.2206,,-208.8536,-8.0775,,,,,,
2009Q2,Industrials,AAL US Equity,,,,,,-3.5055,1191.2206,,-208.8536,-4.0744,,,,,,
2009Q3,Industrials,AAL US Equity,,,,,,-4.5863,1191.2206,,-208.8536,-5.5821,,,,,,
2009Q4,Industrials,AAL US Equity,,,,,,-4.2908,1191.2206,,-208.8536,-5.8009,,,,,,
2010Q1,Industrials,AAL US Equity,,,,,,-4.3876,1191.2206,,-208.8536,-6.3865,,,,,,
2010Q2,Industrials,AAL US Equity,,,,,,-3.2406,1191.2206,,-208.8536,-4.8738,,,,,,
2010Q3,Industrials,AAL US Equity,,,,,,-1.951,1191.2206,,-208.8536,-2.8057,,,,,,
2010Q4,Industrials,AAL US Equity,,,,,,-1.2932,1191.2206,,-208.8536,-1.8604,,,,,,
2011Q1,Industrials,AAL US Equity,,,,,,-1.1261,1191.2206,,-208.8536,-1.5236,,,,,,
2011Q2,Industrials,AAL US Equity,,,,,,-1.9461,1191.2206,,-208.8536,-2.6165,,,,,,
2011Q3,Industrials,AAL US Equity,,,,,,-2.8161,1191.2206,,-208.8536,-3.918,,,,,,
2011Q4,Industrials,AAL US Equity,,,,,,-3.3317,1191.2206,,-208.8536,-8.0881,,,,,,
2012Q1,Industrials,AAL US Equity,,,,,,-4.2978,1191.2206,,-208.8536,-12.409,,,,,,
2012Q2,Industrials,AAL US Equity,,,,,,-3.3354,1191.2206,,-208.8536,-12.5037,,,,,,
2012Q3,Industrials,AAL US Equity,,,,,,-2.527,1191.2206,,-208.8536,-13.2961,,,,,,
2012Q4,Industrials,AAL US Equity,,,,,,-0.513,1191.2206,,-208.8536,-7.9226,,,,,,
2013Q1,Industrials,AAL US Equity,,,,,,1.0861,1191.2206,,-208.8536,-2.3034,,,,,,
2013Q2,Industrials,AAL US Equity,,,,,,2.3319,1191.2206,,-208.8536,-0.3769,,,,,,
2013Q3,Industrials,AAL US Equity,,,,,,3.6316,1191.2206,,-208.8536,1.7,,,,,,
2013Q4,Industrials,AAL US Equity,23.95,25.25,,11.9817,,2.1074,1191.2206,,-208.8536,-5.5694," 6,591.99 ",,,,,
2014Q1,Industrials,AAL US Equity,25.07,36.6,0.44950495,11.9365,21.7245,3.0662,1735.7991,,-208.8536,-2.9916," 17,257.53 ",,,,,
2014Q2,Industrials,AAL US Equity,36.95,42.96,0.173770492,12.9767,7.5753,3.3105,419.5546,,-208.8536,-1.0334," 30,939.63 ",-5.078,,,,
2014Q3,Industrials,AAL US Equity,43.44,35.48,-0.174115456,10.5992,5.1194,3.3474,348.6019,,-208.8536,0.8062," 25,549.25 ",2.446,,,,
2014Q4,Industrials,AAL US Equity,34.72,53.63,0.511555806,9.3941,18.5084,5.7089,876.7937,,-208.8536,6.7436," 38,466.84 ",4.882,,,,
2015Q1,Industrials,AAL US Equity,54.28,52.78,-0.015849338,7.5969,13.2485,6.9476,684.5876,,172.8427,7.3709," 36,769.18 ",5.578,,,,
2015Q2,Industrials,AAL US Equity,51.1,39.935,-0.2433687,5.0079,7.4498,7.9744,516.8867,,108.1326,9.0096," 27,666.92 ",7.021,,,,
2015Q3,Industrials,AAL US Equity,40.65,38.83,-0.027669964,4.2792,6.607,9.0741,546.5444,30.1451,112.8135,10.6063," 26,086.79 ",2.853,,,,
2015Q4,Industrials,AAL US Equity,38.5,42.35,0.090651558,4.7224,4.6944,8.9679,364.8802,33.2271,198.7983,16.6085," 26,694.29 ",2.204,,,,
2016Q1,Industrials,AAL US Equity,41.29,41.01,-0.031641086,4.7503,5.0993,8.6332,461.6561,356.6956,197.4311,15.2654," 24,729.77 ",2.236,,,,
2016Q2,Industrials,AAL US Equity,40.13,28.31,-0.309680566,3.2429,3.5265,8.7297,529.8237,59.6139,166.6834,13.3928," 16,368.04 ",1.915,,,,
2016Q3,Industrials,AAL US Equity,28.26,36.61,0.293182621,4.7616,4.3285,7.6886,531.6101,55.7142,139.0408,11.3561," 19,400.13 ",2.179,,,,
2016Q4,Industrials,AAL US Equity,36.46,46.69,0.275334608,7.0587,6.2577,6.6145,643.1704,41.8258,56.8153,5.3687," 24,191.26 ",1.623,,,,
2017Q1,Industrials,AAL US Equity,47.28,42.3,-0.094024416,6.8403,6.066,6.184,709.9508,99.1612,56.7161,4.5174," 21,325.73 ",1.238,,,,
2017Q2,Industrials,AAL US Equity,42.33,50.32,0.189598109,9.2159,6.6054,5.4602,669.1521,116.321,55.5625,4.2726," 24,787.07 ",1.007,,,,
2017Q3,Industrials,AAL US Equity,50.78,47.49,-0.056240064,9.21,5.7739,5.1563,625.228,116.321,50.7735,4.0905," 23,128.07 ",1.285,,,,
2017Q4,Industrials,AAL US Equity,47.52,52.03,0.095599073,10.028,6.3018,5.1885,638.4361,116.321,54.1045,4.0635," 24,896.31 ",1.360,,,,
2007Q4,Consumer Discretionary,AAP US Equity,33.45,37.99,,16.4459,3.6758,2.31,52.3222,20.0965,23.1978,8.6846," 3,804.68 ",1.264,,,,
2008Q1,Consumer Discretionary,AAP US Equity,37.91,34.05,-0.103711503,13.8415,3.3984,2.46,58.5255,13.7864,23.6198,8.6411," 3,218.31 ",1.074,,,,
2008Q2,Consumer Discretionary,AAP US Equity,35.03,38.83,0.140381791,14.9346,3.5654,2.6,43.6108,13.3513,22.3284,8.5911," 3,699.90 ",0.704,,,,
2008Q3,Consumer Discretionary,AAP US Equity,38.32,39.66,0.021375225,15.4319,3.5507,2.57,44.555,18.0151,23.4,8.6021," 3,793.86 ",0.448,,,,
2008Q4,Consumer Discretionary,AAP US Equity,41.24,33.65,-0.151538074,12.326,2.9686,2.73,44.3422,10.8664,22.6815,8.2514," 3,186.36 ",0.708,,,,
2009Q1,Consumer Discretionary,AAP US Equity,33.86,41.08,0.220802377,14.414,3.3161,2.85,24.4184,10.1819,23.4256,8.4951," 3,902.60 ",0.553,,,,
2009Q2,Consumer Discretionary,AAP US Equity,40.52,41.49,0.009980526,14.3108,3.1343,2.8992,22.1417,9.9889,22.0772,8.456," 3,951.56 ",0.552,,,,
2009Q3,Consumer Discretionary,AAP US Equity,41.71,39.28,-0.053265847,13.2291,2.8768,2.9692,21.6204,6.746,22.1183,8.4321," 3,749.24 ",0.383,,,,
2009Q4,Consumer Discretionary,AAP US Equity,39.25,40.48,0.030549898,14.3515,2.9554,2.8206,15.9292,7.5561,22.9024,8.9572," 3,830.67 ",0.388,,,,
2010Q1,Consumer Discretionary,AAP US Equity,40.7,41.92,0.035573123,13.8322,3.2819,3.0306,25.148,7.1688,24.9706,9.2261," 3,867.60 ",0.338,,,,
2010Q2,Consumer Discretionary,AAP US Equity,42.12,50.18,0.197041985,14.8759,3.9623,3.3732,28.3491,8.1193,26.3017,9.6271," 4,386.64 ",0.263,,,,
2010Q3,Consumer Discretionary,AAP US Equity,50.38,58.68,0.169390195,15.5804,4.3169,3.7663,26.4631,11.2833,27.2396,10.1344," 4,944.73 ",0.320,,,,
2010Q4,Consumer Discretionary,AAP US Equity,59.22,66.15,0.127300613,16.6318,5.216,3.9773,29.039,12.5003,29.7381,10.7684," 5,560.11 ",-0.119,,,,
2011Q1,Consumer Discretionary,AAP US Equity,66.5,65.62,-0.008012094,15.8209,5.78,4.1477,48.8475,14.4391,34.654,10.2183," 5,253.56 ",-0.060,,,,
2011Q2,Consumer Discretionary,AAP US Equity,65.98,58.49,-0.108655898,13.1858,5.6687,4.4358,74.1106,11.8843,39.0799,10.3402," 4,482.52 ",0.108,,,,
2011Q3,Consumer Discretionary,AAP US Equity,58.44,58.1,-0.006667806,12.0971,5.4125,4.8028,77.2077,10.6569,39.1802,10.643," 4,283.96 ",0.403,,,,
2011Q4,Consumer Discretionary,AAP US Equity,57.835,69.63,0.198450947,13.5287,5.9782,5.1468,49.0597,9.3889,41.7805,11.2606," 5,044.41 ",0.527,,,,
2012Q1,Consumer Discretionary,AAP US Equity,71.14,88.57,0.272009191,15.8828,6.6468,5.5765,61.3752,12.2933,44.8702,10.9892," 6,458.94 ",0.663,,,,
2012Q2,Consumer Discretionary,AAP US Equity,88.75,68.22,-0.22976177,12.5026,4.7231,5.4565,56.6949,9.7889,44.3589,10.4239," 5,015.12 ",1.188,,,,
2012Q3,Consumer Discretionary,AAP US Equity,68.4,68.44,0.003224861,13.0201,4.3758,5.2565,52.3103,10.813,40.3263,9.6837," 5,031.29 ",1.141,,,,
2012Q4,Consumer Discretionary,AAP US Equity,68.53,72.35,0.057130333,13.8418,4.3853,5.2269,49.9786,12.7671,37.5787,9.3758," 5,307.89 ",1.098,,,,
2013Q1,Consumer Discretionary,AAP US Equity,73.49,82.65,0.142363511,16.1999,4.7463,5.1019,47.6174,18.1477,33.3574,8.5516," 6,087.60 ",1.146,,,,
2013Q2,Consumer Discretionary,AAP US Equity,82.54,81.17,-0.017906836,15.1666,4.3186,5.3519,44.1932,17.0913,32.3175,8.7174," 5,922.09 ",1.105,,,,
2013Q3,Consumer Discretionary,AAP US Equity,81.72,82.68,0.018602932,14.7068,4.1017,5.6219,41.2207,16.7154,31.0971,8.7626," 6,022.18 ",1.925,,,,
2013Q4,Consumer Discretionary,AAP US Equity,82.7,110.68,0.338655056,19.5171,5.3172,5.6709,69.4882,23.0893,28.6672,7.6977," 8,061.06 ",2.165,,,,
2014Q1,Consumer Discretionary,AAP US Equity,110.36,126.5,0.142934586,20.5827,5.5368,6.1459,124.359,30.9261,28.3713,6.5984," 9,225.21 ",1.427,,,,
2014Q2,Consumer Discretionary,AAP US Equity,126.96,134.92,0.066561265,20.6112,5.4262,6.5459,102.974,26.8862,27.5847,6.8682," 9,843.04 ",1.509,,,,
2014Q3,Consumer Discretionary,AAP US Equity,135.86,130.3,-0.034242514,18.9501,4.9396,6.8759,90.1444,19.8945,26.9508,7.0877," 9,508.70 ",1.943,,,,
2014Q4,Consumer Discretionary,AAP US Equity,129.89,159.28,0.222409823,21.5243,5.8112,7.4,81.7257,24.1798,27.9769,7.3013," 11,626.51 ",1.906,,,,
2015Q1,Consumer Discretionary,AAP US Equity,160.85,149.69,-0.060208438,19.8528,5.1023,7.54,75.0155,21.6241,25.8344,6.1546," 10,948.44 ",2.609,,,,
2015Q2,Consumer Discretionary,AAP US Equity,147.78,159.29,0.064132541,20.5801,5.0939,7.74,63.5017,24.118,24.5139,6.2553," 11,656.56 ",2.495,,,,
2015Q3,Consumer Discretionary,AAP US Equity,160.59,189.53,0.189842426,24.2245,5.752,7.8239,53.6119,30.1147,23.1063,6.218," 13,876.89 ",1.063,,,,
2015Q4,Consumer Discretionary,AAP US Equity,190.28,150.51,-0.205877697,19.9937,4.4844,7.5279,49.0479,23.5633,21.1376,5.8844," 11,022.84 ",-0.647,,,,
2016Q1,Consumer Discretionary,AAP US Equity,149.25,160.34,0.065311275,20.9296,4.4851,7.6609,46.8019,27.8355,20.2009,5.8376," 11,756.53 ",-0.651,,,,
2016Q2,Consumer Discretionary,AAP US Equity,160.41,161.63,0.008045404,22.1357,4.3283,7.3018,42.5664,36.8173,18.1394,5.5247," 11,888.86 ",-0.848,,,,
2016Q3,Consumer Discretionary,AAP US Equity,162.16,149.12,-0.077398998,21.0679,3.846,7.0781,36.5234,31.5533,17.1096,5.448," 10,981.22 ",-0.956,,,,
2016Q4,Consumer Discretionary,AAP US Equity,148.53,169.12,0.134120172,24.6855,4.277,6.851,35.7746,41.9436,17.0434,5.5906," 12,456.30 ",-1.289,,,,
2017Q1,Consumer Discretionary,AAP US Equity,170.78,148.26,-0.123344371,24.9684,3.6206,5.9379,35.5161,40.818,14.4337,4.8468," 10,944.37 ",-1.419,,,,
2017Q2,Consumer Discretionary,AAP US Equity,148.4,116.59,-0.213611224,20.6695,2.7528,5.6407,33.3765,23.1487,12.6246,4.3996," 8,609.55 ",-1.465,,,,
2017Q3,Consumer Discretionary,AAP US Equity,117.45,99.2,-0.149155159,18.6191,2.2754,5.3279,32.3252,24.5283,11.6039,4.1861," 7,327.17 ",-2.317,,,,
2017Q4,Consumer Discretionary,AAP US Equity,99.58,99.69,0.004939516,19.1784,2.1582,5.198,30.5891,17.9185,15.0206,5.6617," 7,366.90 ",-0.696,,,,
2007Q4,Information Technology,AAPL US Equity,22.09,28.2971,,43.63,10.357,0.6486,0,30.708,28.9953,16.4262," 173,427.02 ",1.199,,,,
2008Q1,Information Technology,AAPL US Equity,28.4671,20.5,-0.275544137,29.3456,6.9624,0.6986,0,21.3544,28.8577,18.4402," 126,118.66 ",2.187,,,,
2008Q2,Information Technology,AAPL US Equity,20.9,23.92,0.166829268,32.2,7.4923,0.7429,0,24.6901,28.1837,18.142," 147,618.90 ",1.947,,,,
2008Q3,Information Technology,AAPL US Equity,23.4614,16.2371,-0.321191472,16.9389,4.5283,0.9586,0,12.0187,32.9097,19.8529," 100,688.63 ",2.975,,,,
2008Q4,Information Technology,AAPL US Equity,15.9886,12.1929,-0.249071571,11.4564,3.3173,1.0643,0,8.0684,33.9133,18.4934," 75,870.61 ",2.024,,,,
2009Q1,Information Technology,AAPL US Equity,12.2686,15.0171,0.231626602,13.1072,3.8566,1.1457,0,10.0909,34.1494,20.0953," 93,615.01 ",1.830,,,,
2009Q2,Information Technology,AAPL US Equity,14.87,20.3471,0.354928715,16.2221,4.9281,1.2543,0,12.3517,34.8051,20.3161," 127,063.22 ",1.472,,,,
2009Q3,Information Technology,AAPL US Equity,20.5,26.4786,0.301345155,20.4355,5.2711,1.2957,0,18.3589,30.5356,19.684," 166,039.64 ",1.377,,,,
2009Q4,Information Technology,AAPL US Equity,26.4786,30.1046,0.136940775,20.5793,5.3395,1.4629,0,17.5169,31.8967,19.3521," 189,617.81 ",1.361,,,,
2010Q1,Information Technology,AAPL US Equity,30.49,33.5714,0.115158481,19.9491,5.4327,1.6829,0,17.4537,33.9685,21.5606," 213,096.73 ",1.247,,,,
2010Q2,Information Technology,AAPL US Equity,33.9271,35.9329,0.070342613,18.9405,5.3297,1.8971,0,15.9092,35.4701,21.6843," 228,876.81 ",1.189,,,,
2010Q3,Information Technology,AAPL US Equity,36.3286,40.5357,0.128094309,18.7294,5.4384,2.1643,0,15.5554,35.2835,22.8441," 259,223.48 ",0.995,,,,
2010Q4,Information Technology,AAPL US Equity,40.878,46.08,0.136775731,18.0101,5.4346,2.5586,0,14.9544,36.7981,23.6571," 295,886.59 ",0.613,,,,
2011Q1,Information Technology,AAPL US Equity,46.52,49.7868,0.080442708,16.6114,5.2419,2.9971,0,13.7399,38.784,25.7329," 321,072.30 ",0.909,,,,
2011Q2,Information Technology,AAPL US Equity,50.1586,47.9529,-0.036835065,13.2886,4.4869,3.6086,0,10.5196,41.9852,27.5328," 310,412.37 ",0.843,,,,
2011Q3,Information Technology,AAPL US Equity,47.9929,54.4743,0.135995946,13.781,4.6251,3.9529,0,10.5955,41.6732,27.065," 353,518.29 ",0.415,,,,
2011Q4,Information Technology,AAPL US Equity,54.3386,57.8571,0.062099008,11.5352,4.1924,5.0157,0,9.1808,45.5804,29.2623," 376,410.64 ",0.364,,,,
2012Q1,Information Technology,AAPL US Equity,58.4857,85.65,0.480371467,14.6196,5.4691,5.8586,0,11.6499,47.1011,31.4166," 559,002.43 ",0.656,,,,
2012Q2,Information Technology,AAPL US Equity,85.9757,83.4286,-0.025935785,13.7283,4.8983,6.0771,0,11.9202,44.3241,29.7663," 546,076.21 ",0.774,,,,
2012Q3,Information Technology,AAPL US Equity,83.5329,95.3007,0.14230252,15.1065,5.3003,6.3086,0,14.6367,42.8415,28.5417," 625,348.23 ",0.810,,,,
2012Q4,Information Technology,AAPL US Equity,95.88,76.0247,-0.202265041,12.0674,3.9239,6.3,0,10.5122,38.4057,24.9408," 500,610.83 ",0.956,,,,
2013Q1,Information Technology,AAPL US Equity,79.1171,63.2371,-0.168203229,10.5672,3.0714,5.9843,0,9.1489,33.3395,22.9532," 415,683.41 ",0.682,,,,
2013Q2,Information Technology,AAPL US Equity,63.1286,56.6471,-0.104210977,9.9033,2.9202,5.72,13.7474,8.5885,32.1123,20.812," 372,202.48 ",0.663,,,,
2013Q3,Information Technology,AAPL US Equity,57.5271,68.1071,0.202305149,12.03,3.4699,5.6614,13.7273,9.7459,30.6396,19.3372," 433,125.95 ",1.691,,,,
2013Q4,Information Technology,AAPL US Equity,68.35,80.1457,0.176759839,13.9184,3.8608,5.7582,13.0787,11.3292,28.8145,17.5806," 504,771.00 ",1.101,,,,
2014Q1,Information Technology,AAPL US Equity,79.3829,76.6771,-0.043278679,12.8427,3.8487,5.9705,14.1139,10.2733,29.4967,18.8191," 478,766.18 ",1.412,,,,
2014Q2,Information Technology,AAPL US Equity,76.8229,92.93,0.211965502,15.0422,4.6021,6.178,25.6656,11.8389,31.5644,18.2562," 560,336.95 ",1.334,,,,
2014Q3,Information Technology,AAPL US Equity,93.52,100.75,0.08414936,15.7189,5.2984,6.4095,31.6414,12.3148,33.6118,18.0066," 603,277.62 ",0.358,,,,
2014Q4,Information Technology,AAPL US Equity,100.59,110.38,0.095583127,14.9215,5.2147,7.3974,29.5172,10.9242,35.1462,18.2566," 647,361.02 ",0.347,,,,
2015Q1,Information Technology,AAPL US Equity,111.39,124.43,0.127287552,15.3999,5.5579,8.0799,34.0069,11.3083,38.3715,20.4665," 724,773.40 ",1.315,,,,
2015Q2,Information Technology,AAPL US Equity,124.82,125.425,0.007996464,14.4905,5.694,8.6557,43.2999,10.4936,41.1464,20.472," 722,577.16 ",1.376,,,,
2015Q3,Information Technology,AAPL US Equity,126.9,110.3,-0.120589994,11.9757,5.1555,9.2103,53.8964,9.1082,46.2482,20.4503," 629,010.26 ",1.585,,,,
2015Q4,Information Technology,AAPL US Equity,109.07,105.26,-0.045693563,11.2247,4.55,9.3776,49.0875,9.4152,42.7123,19.3563," 586,859.35 ",1.219,,,,
2016Q1,Information Technology,AAPL US Equity,102.61,108.99,0.035436063,12.1773,4.577,8.9502,61.2248,10.9258,39.0638,17.8925," 604,304.10 ",1.219,,,,
2016Q2,Information Technology,AAPL US Equity,108.78,95.6,-0.122855308,11.2239,4.0745,8.5175,67.1205,10.4436,37.9013,16.5172," 523,641.81 ",0.834,,,,
2016Q3,Information Technology,AAPL US Equity,95.49,113.05,0.182531381,13.7593,4.7038,8.2163,67.8617,11.6884,36.9033,14.9296," 609,163.47 ",1.056,,,,
2016Q4,Information Technology,AAPL US Equity,112.71,115.82,0.024502433,13.8619,4.5977,8.3553,66.1296,11.7084,34.6946,14.4828," 617,588.49 ",0.947,,,,
2017Q1,Information Technology,AAPL US Equity,115.8,143.66,0.240372993,16.8144,5.5777,8.5439,73.4789,14.3102,34.5734,14.2949," 753,717.94 ",1.427,,,,
2017Q2,Information Technology,AAPL US Equity,143.71,144.02,0.002505917,16.384,5.6224,8.7903,81.8116,14.6341,36.0287,14.3371," 750,897.24 ",1.438,,,,
2017Q3,Information Technology,AAPL US Equity,144.88,154.12,0.070129149,16.9226,5.8938,9.1073,86.2981,15.619,36.8675,13.8739," 796,064.94 ",1.595,,,,
2017Q4,Information Technology,AAPL US Equity,154.26,169.23,0.098040488,17.5935,6.1339,9.6189,87.3045,16.365,37.0705,13.6936," 860,882.49 ",2.962,,,,
2007Q4,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
2008Q1,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
2008Q2,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
2008Q3,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
2008Q4,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
2009Q1,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
2009Q2,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
2009Q3,Health Care,ABBV US Equity,,,,,,,,,,,,,,,,
